Artist,Title,Week(s) in Charts,Peak,Week
Lil Pump,Esskeetit,2,74,2018-04-29
Lil Pump,Butterfly Doors,2,85,2019-01-20
Lil Peep & XXXTentacion,Falling Down,9,9,2018-11-25
Lil Nas X & Cardi B,Rodeo,2,82,2019-07-07
Lil Nas X,Panini,13,41,2019-10-27
Lil Nas X,Old Town Road,71,1,2021-04-11
Lil Nas X,Montero (Call Me By Your Name),5,2,2021-05-02
Lil Nas X,Holiday,19,26,2021-04-25
Lil Mosey,Blueberry Faygo,22,28,2020-07-26
Lil Dicky feat. Chris Brown,Freaky Friday,11,33,2018-06-03
Lil Dicky,Earth,4,42,2019-05-19
Lil Baby / Gunna,Drip Too Hard,2,87,2019-01-20
Lil Baby & Drake,Yes Indeed,1,94,2018-05-27
Liba & Eaz,Ballerina,1,79,2018-05-20
Liam Payne feat. Quavo,Strip That Down,22,30,2017-10-22
Liam Payne & Rita Ora,For You (Fifty Shades Freed),23,3,2018-06-17
Liam Payne & J Balvin,Familiar,11,52,2018-07-15
Liam Payne,Bedroom Floor,1,95,2017-10-29
Lewis Capaldi,Someone You Loved,119,3,2021-05-02
Lewis Capaldi,Hold Me While You Wait,2,63,2019-10-27
Lewis Capaldi,Bruises,38,42,2021-02-21
Lewis Capaldi,Before You Go,66,5,2021-03-21
Leto feat. Ninho,Macaroni,3,36,2020-09-20
Leslie Clio,I Couldn't Care Less,2,66,2013-03-31
Les Enfoirés,Si l'on s'aimait| si,1,54,2010-03-28
Les Enfoirés,On demande pas la lune,2,37,2011-04-10
Les Enfoirés,Encore un autre hiver,1,63,2012-04-01
Les Enfoirés,Attention au départ,2,49,2013-04-07
Lerocque,Perfect,1,82,2017-03-05
Leony,Faded Love,8,24,2021-05-02
Leonard Cohen,You Want It Darker,1,27,2016-11-20
Leonard Cohen,Suzanne,1,14,2016-11-20
Leonard Cohen,So Long| Marianne,1,50,2016-11-20
Leonard Cohen,Hallelujah,3,2,2016-11-27
Leonard Cohen,Dance Me To The End Of Love,1,68,2016-11-20
Leona Lewis feat. Childish Gambino,Trouble,1,75,2012-11-18
Leona Lewis,Run,72,2,2014-01-05
Leona Lewis,One More Sleep,3,54,2020-12-27
Leona Lewis,I Got You,3,57,2010-05-02
Leona Lewis,Happy,18,4,2010-03-28
Leon Machère & Kay One feat. Tilly,Portofino,1,68,2019-07-07
Leon Machère,Copacabana,1,80,2018-08-05
Lenny Kravitz,The Pleasure And The Pain,1,29,2014-09-21
Lenny Kravitz,The Chamber,28,9,2015-01-18
Lenny Kravitz,Stand,6,42,2011-10-09
Lenny Kravitz,New York City,1,34,2014-09-14
Lenny Kravitz,Low,6,69,2018-09-16
Lennon & Maisy,Love,15,2,2015-06-21
Lenka,Everything At Once,4,53,2013-02-24
Lena x Nico Santos,Better,5,89,2020-05-17
Lena Meyer-Landrut,Satellite,24,1,2010-09-05
Lena Meyer-Landrut,Love Me,2,39,2010-04-11
Lena Meyer-Landrut,Bee,3,27,2010-04-11
Lena,Wild &amp; Free,1,37,2016-01-03
Lena,Taken By A Stranger,2,29,2011-05-29
Lena,Stardust,1,74,2012-10-28
Lena,If I Wasn't Your Daughter,3,31,2017-06-25
Led Zeppelin,Stairway To Heaven,13,17,2011-11-20
Leal,Disco Ball,1,56,2015-03-08
Lea & Capital Bra,7 Stunden,5,27,2020-07-05
Lea,Treppenhaus,2,96,2020-06-21
Lea,Leiser,3,36,2018-04-15
Lea,110 (Prolog),1,80,2020-03-01
Lauv feat. Julia Michaels,There's No Way,1,86,2018-11-11
Lauv feat. Anne-Marie,F**k| I'm Lonely,3,53,2019-09-22
Lauv & Troye Sivan,I'm So Tired...,20,40,2019-06-16
Lauv & Lany,Mean It,1,87,2019-11-24
Lauv,I Like Me Better,42,23,2018-04-29
Laurent Wery feat. Swiftkid & Dev,Hey Hey Hey (Pop Another Bottle),1,63,2012-06-17
Lauren Daigle,You Say,39,41,2020-02-23
Laura Pausini & Kylie Minogue,Limpido,1,66,2013-09-29
Laura Pausini,Non è detto,1,32,2018-02-04
Laura Pausini,Fantastico (fai quello che sei),1,94,2018-02-25
Laura Pausini,Benvenuto,1,49,2011-11-27
Laserkraft 3D,Nein| Mann!,23,20,2011-02-20
Lartiste feat. Caroliina,Mafiosa,28,38,2018-10-14
Lartiste feat. Awa Imani,Chocolat,9,75,2017-08-06
Lana Del Rey feat. The Weeknd,Lust For Life,3,48,2017-07-30
Lana Del Rey,Young And Beautiful,3,31,2013-06-16
Lana Del Rey,West Coast,13,13,2014-08-31
Lana Del Rey,Video Games,30,2,2012-06-03
Lana Del Rey,Summertime Sadness,47,3,2013-12-08
Lana Del Rey,Shades Of Cool,1,43,2014-06-15
Lana Del Rey,Ride,7,20,2012-12-16
Lana Del Rey,Mariners Apartment Complex,1,89,2018-09-23
Lana Del Rey,Love,5,27,2017-07-30
Lana Del Rey,Let Me Love You Like A Woman,1,85,2020-10-25
Lana Del Rey,High By The Beach,3,58,2015-08-30
Lana Del Rey,Doin' Time,2,70,2019-09-08
Lana Del Rey,Dark Paradise,1,48,2013-03-17
Lana Del Rey,Chemtrails Over The Country Club,1,94,2021-01-24
Lana Del Rey,Brooklyn Baby,2,16,2014-06-22
Lana Del Rey,Born To Die,12,13,2012-11-04
Lana Del Rey,Blue Velvet,1,42,2012-10-07
Lana Del Rey,Blue Jeans,16,39,2012-02-19
Lamiya,Glow,1,27,2016-02-07
Lady Gaga with Blackpink,Sour Candy,1,30,2020-06-07
Lady Gaga feat. R. Kelly,Do What U Want,18,14,2014-03-02
Lady Gaga feat. Beyoncé,Telephone,24,4,2010-09-05
Lady Gaga & Bradley Cooper,Shallow,134,1,2021-05-02
Lady Gaga & Bradley Cooper,I'll Never Love Again,27,14,2020-05-10
Lady Gaga & Ariana Grande,Rain On Me,19,5,2020-10-04
Lady Gaga,Yoü And I,12,32,2011-12-04
Lady Gaga,Venus,1,18,2013-11-10
Lady Gaga,The Edge Of Glory,24,10,2011-11-27
Lady Gaga,The Cure,8,41,2017-06-11
Lady Gaga,Stupid Love,12,6,2020-06-14
Lady Gaga,Poker Face,72,1,2010-11-28
Lady Gaga,Perfect Illusion,4,16,2016-11-06
Lady Gaga,Paparazzi,28,4,2010-03-21
Lady Gaga,Million Reasons,29,7,2017-04-30
Lady Gaga,Marry The Night,11,34,2012-03-04
Lady Gaga,Judas,13,8,2011-07-24
Lady Gaga,Dope,1,15,2013-11-17
Lady Gaga,Born This Way,30,1,2012-01-15
Lady Gaga,Bad Romance,48,2,2010-12-05
Lady Gaga,Applause,21,7,2014-01-12
Lady Gaga,Always Remember Us This Way,76,7,2021-02-21
Lady Gaga,Alejandro,38,3,2011-02-27
Lady Gaga,A-Yo,1,62,2016-10-30
Lady Antebellum,Need You Now,36,11,2013-03-10
Lacrim feat. Ninho,Dadinho,1,98,2020-10-25
Lacrim feat. Maes,Boston George,1,64,2020-10-25
Lacrim feat. Ghali,Tristi,1,91,2017-04-09
Lacrim feat. Damso,Noche,1,65,2017-11-26
Lacrim feat. Booba,Oh bah oui,1,48,2017-04-09
Lacrim,Traîtres,1,49,2017-02-12
Lacrim,Grande armée,1,60,2017-02-26
Lacrim,Colonel Carrillo,1,88,2017-04-02
Labrinth feat. Emeli Sandé,Beneath Your Beautiful,28,17,2013-07-07
Labrinth,Still Don't Know My Name,5,83,2020-09-27
LaVive,No Time For Sleeping,1,28,2010-12-26
La Roux,Bulletproof,20,42,2010-02-07
LX| Bonez MC,Auf mein Fahrrad,2,31,2021-01-24
LX feat. Gzuz,Kollektiv,2,23,2020-11-22
LX & Maxwell feat. Gzuz & Gallo Nero,Perdono,2,14,2019-05-26
LX & Maxwell feat. Bonez MC| Gzuz| Sa4,100 Round Drum,1,84,2019-07-07
LX & Maxwell feat. Bonez MC| Gzuz & Sa4,HaifischNikez Allstars,5,9,2019-02-03
LX & Maxwell feat. Bonez MC,Lifestyle,1,100,2019-05-05
LX & Maxwell,Super Lemon Haze,1,46,2019-04-07
LX & Maxwell,Strassenbande,1,84,2019-06-30
LX & Maxwell,Mercy Mercy,1,38,2019-05-05
LX & Maxwell,Hotbox,1,83,2020-03-29
LUM!X & Gabry Ponte,Monster,25,55,2020-10-25
LSD (Labrinth / Sia / Diplo),Thunderclouds,21,38,2019-02-03
LSD (Labrinth / Sia / Diplo),Genius,1,84,2018-05-13
LSD (Labrinth / Sia / Diplo),Audio,10,75,2018-08-05
LP,Lost On You,39,5,2017-07-23
LMFAO feat. Natalia Kills,Champagne Showers,12,56,2011-11-27
LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,54,1,2012-05-06
LMFAO,Sorry For Party Rocking,9,43,2012-05-06
LMFAO,Sexy And I Know It,38,7,2012-07-15
L'Algérino - Alonzo - Stone Black - Le Rat Luciano - Sch - Jul - As - Veazy,L'étoile sur le maillot,1,71,2020-10-18
Kynda Gray + RIN,Ayo Technology,1,34,2020-07-05
Kylie Minogue,Santa Baby,4,57,2021-01-03
Kylie Minogue,Into The Blue,2,32,2014-03-23
Kylie Minogue,Get Outta My Way,3,61,2010-11-07
Kylie Minogue,All The Lovers,21,6,2010-11-21
Kyle feat. Lil Yachty,iSpy,10,61,2017-05-07
Kyla La Grange,Cut Your Teeth,1,69,2014-08-24
Kygo| Zara Larsson & Tyga,Like It Is,7,9,2020-05-17
Kygo| Avicii & Sandro Cavazza,Forever Yours (Avicii Tribute),5,25,2020-03-29
Kygo x Whitney Houston,Higher Love,44,10,2020-05-24
Kygo x Tina Turner,What's Love Got To Do With It,18,6,2020-11-22
Kygo x Donna Summer,Hot Stuff,4,27,2020-11-22
Kygo feat. Zak Abel,Freedom,9,25,2020-07-12
Kygo feat. Will Heard,Nothing Left,3,26,2015-08-23
Kygo feat. Valerie Broussard,Think About You,3,32,2019-03-10
Kygo feat. The Night Game & Maja Francis,Kids In Love,1,33,2017-10-29
Kygo feat. Sasha Sloan,This Town,1,99,2017-10-01
Kygo feat. Sandro Cavazza,Happy Now,22,20,2019-04-07
Kygo feat. Parson James,Stole The Show,56,3,2016-05-22
Kygo feat. OneRepublic,Stranger Things,1,48,2017-11-12
Kygo feat. Miguel,Remind Me To Forget,24,2,2018-09-02
Kygo feat. Maty Noyes,Stay,33,11,2016-07-24
Kygo feat. Kodaline,Raging,17,24,2016-07-31
Kygo feat. Justin Jesso,Stargazing,34,9,2018-05-20
Kygo feat. John Newman,Never Let You Go,1,64,2017-11-05
Kygo feat. James Vincent McMorrow,I'm In Love,1,39,2016-05-01
Kygo feat. James Gillespie,Gone Are The Days,2,62,2021-05-02
Kygo feat. Ella Henderson,Here For You,16,17,2016-01-31
Kygo feat. Conrad,Firestone,49,4,2016-01-17
Kygo and Rita Ora,Carry On,15,28,2019-08-04
Kygo & Valerie Broussard,The Truth,1,63,2020-05-31
Kygo & Selena Gomez,It Ain't Me,47,3,2018-01-21
Kygo & Sasha Sloan,I'll Wait,3,21,2020-04-26
Kygo & OneRepublic,Lose Somebody,18,20,2020-09-20
Kygo & Labrinth,Fragile,2,50,2016-04-03
Kygo & Kim Petras,Broken Glass,1,78,2020-06-07
Kygo & Imagine Dragons,Born To Be Yours,23,5,2018-11-25
Kygo & Ellie Goulding,First Time,17,14,2017-09-03
Kygo & Chelsea Cutler,Not Ok,1,47,2019-06-02
Kyasma feat. Melanie Oesch,Reconcile,1,71,2016-03-27
Kwabs,Walk,33,4,2015-06-28
Kurdo & Majoe,Desert Eagle,1,99,2017-09-10
Kurdo,Ya Salam,1,88,2017-04-09
Kurdo,Wellou,1,38,2018-09-30
Kurdo,Regentropfen,1,94,2019-02-10
Kurdo,NKT,1,93,2021-04-18
Kunz,Lüüt so wie mer,3,3,2017-04-09
Kunz,L.I.E.B.I.,1,90,2018-12-16
Kunz,Chliini Händ,1,73,2021-04-11
Kungs vs. Cookin' On 3 Burners,This Girl,45,6,2017-02-19
Kungs feat. Jamie N Commons,Don't You Know,29,17,2017-01-22
Kungs feat. Ephemerals,I Feel So Bad,10,52,2017-02-19
Krokus,Hoodoo Woman,9,19,2010-05-09
Krokus,Dirty Dynamite,2,32,2013-03-17
Kristian Kostov,Beautiful Mess,1,85,2017-05-21
Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,7,68,2018-10-21
Kore & Ninho,Mon poto,4,50,2021-04-11
Kool Savas x Sido x Nessi,Dicka was,1,43,2020-09-27
Kool Savas x Alies,Rapkiller!,1,84,2021-02-07
Kool Savas x Alies,AMG,2,47,2021-02-28
Kool Savas feat. Sido| Azad & Adesse,Triumph,3,31,2016-11-06
Kool Savas feat. Nessi,Deine Mutter,2,49,2019-02-17
Kool Savas feat. Mel,Brechen mich nicht.,1,93,2020-05-17
Kool Savas feat. Jamule,Batman,1,100,2019-02-17
Kool Savas feat. Alex Prince,Limit,1,61,2014-11-23
Kool Savas,Und dann kam Essah,1,57,2011-11-27
Kool Savas,Optik 4 Life,1,93,2021-02-28
Kool Savas,Brachland,1,34,2021-02-28
Kool Savas,Aura,6,13,2011-12-11
Kontra K feat. Veysel,Blei,4,28,2019-06-02
Kontra K feat. Samra,Tiefschwarz,3,5,2020-08-02
Kontra K feat. RAF Camora,Fame,2,29,2018-05-27
Kontra K feat. Capital Bra,Alles dreht sich,1,51,2020-10-04
Kontra K feat. AK Ausserkontrolle,Sirenen,1,48,2020-09-06
Kontra K,Zwischen Himmel &amp; Hölle,1,97,2018-03-11
Kontra K,Warnung,2,36,2019-02-03
Kontra K,Sonne,1,69,2020-06-28
Kontra K,Puste sie weg,2,25,2020-04-12
Kontra K,Namen,1,27,2020-05-10
Kontra K,Letzte Träne,3,19,2019-06-09
Kontra K,Kampfgeist 4,1,50,2019-03-24
Kontra K,Freunde,1,61,2020-09-27
Kontra K,Farben,1,45,2018-12-23
Kontra K,Diese eine Melodie,1,47,2021-03-14
Kollegah feat. Farid Bang,American Express,1,61,2016-12-18
Kollegah feat. 18 Karat,Das erste Mal,1,58,2018-11-11
Kollegah + Farid Bang,Dynamit,1,41,2012-12-16
Kollegah & Farid Bang feat. Musiye,In die Unendlichkeit,1,91,2018-08-19
Kollegah & Farid Bang,Zieh' den Rucksack aus,2,35,2017-10-15
Kollegah & Farid Bang,Sturmmaske auf (Intro),3,15,2018-05-13
Kollegah & Farid Bang,Rap wieder Rap,2,22,2017-12-17
Kollegah & Farid Bang,Mitternacht 2,1,43,2018-07-08
Kollegah & Farid Bang,Gamechanger,3,24,2017-12-17
Kollegah & Farid Bang,Es wird Zeit,1,31,2017-12-10
Kollegah & Farid Bang,Ave Maria,3,15,2017-12-24
Kollegah & Farid Bang,All Eyez On Us,1,81,2018-04-22
Kollegah,Wie ein Alpha,1,61,2018-09-30
Kollegah,Push It To The Limit (Hoodtape 3),1,72,2018-10-28
Kollegah,Pharao,1,87,2016-12-18
Kollegah,Löwe,1,56,2018-11-04
Kollegah,King,2,22,2014-05-11
Kollegah,Kaiseraura,1,73,2016-12-18
Kollegah,Gospel,1,94,2018-11-25
Kollegah,Dear Lord,1,98,2018-10-14
Kollegah,Alphagenetik,1,37,2019-11-17
Kollegah,Alpha,2,42,2014-05-11
Kollegah,AKs im Wandschrank,1,41,2014-05-11
Kodaline,Honest,2,61,2015-03-08
Kodaline,High Hopes,17,38,2015-03-08
Kodaline,Follow Your Fire,1,82,2018-04-01
Kodaline,Brother,19,18,2017-11-12
Kodak Black feat. Travis Scott & Offset,Zeze,19,13,2019-02-24
Koba LaD feat. Vald,Pas de reine,1,75,2020-11-01
Koba LaD feat. Niska,RR 9.1,1,75,2019-04-28
Koba LaD feat. Ninho,Encore,1,62,2020-11-01
Koba LaD feat. Maes & Zed,Coffre plein,4,19,2020-11-22
Koba LaD feat. Freeze Corleone,7 sur 7,1,42,2020-10-04
Klingande feat. Broken Back,Riva (Restart The Game),20,6,2015-08-16
Klingande,Punga,4,41,2013-12-15
Klingande,Jubel,49,1,2014-08-31
Klaus Badelt,The Black Pearl,3,59,2011-06-19
Klangkarussell,Sonnentanz,87,3,2014-08-17
Klangkarussell,Netzwerk (Falls Like Rain),21,13,2014-10-05
Kizz Daniel feat. Philkeyz,Nesesari,9,45,2021-05-02
KitschKrieg| RIN & Kool Savas,Oh Junge,1,66,2020-08-02
KitschKrieg| Bonez MC & Vybz Kartel,International Criminal,4,23,2020-08-23
KitschKrieg feat. Trettmann| Gringo| Ufo361 & Gzuz,Standard,11,18,2019-01-13
KitschKrieg feat. Jamule,Unterwegs,15,17,2020-11-22
KitschKrieg feat. Cro| AnnenMayKantereit & Trettmann,5 Minuten,2,38,2019-02-24
Kings Of Leon,Waste A Moment,1,57,2016-10-23
Kings Of Leon,Wait For Me,2,39,2013-09-01
Kings Of Leon,Use Somebody,44,9,2011-04-24
Kings Of Leon,Sex On Fire,35,35,2013-07-21
Kings Of Leon,Radioactive,1,69,2010-11-07
Kings Of Leon,Pyro,2,74,2011-02-06
King Princess,1950,2,94,2018-04-29
Kim Wilde,Lights Down Low,1,62,2010-09-12
Kim Sanders,Haunted,2,34,2012-02-26
Kiko Rivera,Quítate el top,5,7,2012-10-21
Kiiara,Gold,27,53,2016-10-23
Kiesza,Hideaway,40,5,2015-01-18
Kiesza,Giant In My Heart,2,48,2014-11-02
Kids See Ghosts,Reborn,1,99,2018-06-17
Kidda / Dardan,Pale,3,26,2021-04-04
Kidda,Malli,13,20,2020-10-04
Kidda,Cataleya,3,51,2020-12-20
KidA x Mozzik,Pishmon,2,81,2020-07-19
KidA x Mozzik,Paranoia,3,44,2020-07-26
Kid Rock,Born Free,11,42,2011-01-30
Kid Ink| Tyga| Wale| YG| Rich Homie Quan,Ride Out,5,25,2015-05-10
Kid Ink feat. Chris Brown,Show Me,3,32,2014-01-26
Kid Cudi feat. Pop Smoke & Skepta,Show Out,2,43,2020-12-27
Kid Cudi feat. MGMT & Ratatat,Pursuit Of Happiness,7,50,2012-11-18
Kid Cudi,Tequila Shots,1,73,2020-12-20
Kianush & PA Sports,Kriminell,2,53,2020-02-23
Khalid x Normani,Love Lies,17,46,2018-06-17
Khalid feat. Empress Of,Suncity,5,30,2018-11-25
Khalid & Swae Lee,The Ways,1,89,2018-02-18
Khalid & Disclosure,Know Your Worth,4,51,2020-05-03
Khalid,Young Dumb &amp; Broke,3,89,2017-11-19
Khalid,Talk,12,50,2019-05-19
Khalid,Saturday Nights,5,68,2019-02-10
Khalid,My Bad,3,75,2019-04-14
Khalid,Location,2,76,2017-04-16
Khalid,Eleven,2,74,2020-01-26
Khalid,Better,17,26,2019-04-14
Khaled,C'est la vie,9,33,2012-11-18
Kezah feat. Freddy Gladieux & Squeezie,Mirador,1,53,2019-06-23
Kesha,Praying,5,64,2017-08-27
Kerstin Ott,Regenbogenfarben,9,19,2019-02-17
Keri Hilson,Pretty Girl Rock,1,62,2011-06-26
Keri Hilson,I Like,35,5,2010-08-29
Kent Jones,Don't Mind,15,46,2016-09-18
Kendrick Lamar feat. Rihanna,Loyalty.,3,35,2017-05-07
Kendrick Lamar & Travis Scott,Big Shot,1,70,2018-02-18
Kendrick Lamar & SZA,All The Stars,15,18,2018-04-22
Kendrick Lamar,The Heart Part 4,1,41,2017-04-02
Kendrick Lamar,Humble.,23,17,2017-10-15
Kendrick Lamar,DNA.,7,25,2017-06-04
Kendji Girac avec Soprano,No me mires más,17,31,2016-06-05
Kendji Girac,Andalouse,3,56,2015-02-01
Kelly Rowland feat. The WAV.s,Down For Whatever,3,62,2012-02-05
Kelly Rowland feat. David Guetta,Commander,7,46,2010-09-26
Kelly Clarkson,Underneath The Tree,12,11,2021-01-03
Kelly Clarkson,Stronger (What Doesn't Kill You),26,18,2012-08-05
Kelly Clarkson,Mr. Know It All,13,22,2012-02-05
Kelly Clarkson,Heartbeat Song,15,24,2015-06-21
Kelis,Acapella,2,61,2010-05-30
Keith Urban,Somebody Like You,1,50,2014-10-26
Keala Settle & The Greatest Showman Ensemble,This Is Me,8,60,2018-04-01
Ke$ha feat. 3OH!3,Blah Blah Blah,9,30,2010-06-06
Ke$ha,Your Love Is My Drug,9,34,2010-09-19
Ke$ha,We R Who We R,13,17,2011-03-20
Ke$ha,TiK ToK,40,1,2011-01-23
Ke$ha,Die Young,14,23,2013-03-03
Kayef,Ich würd' lügen,2,98,2020-05-10
Kay One feat. Pietro Lombardi,Señorita,19,7,2018-01-28
Kay One feat. Mike Singer,Netflix &amp; Chill,1,54,2018-06-03
Kay One feat. Mario Winans,I Need A Girl Part 3,2,39,2012-03-11
Kay One feat. Cristobal,Bachata,3,81,2020-09-20
Kay One,Louis Louis,8,58,2017-07-16
Kay One,Es tut mir leid,1,92,2018-09-09
Kay One,Bentley,1,82,2019-04-07
Kavinsky,Roadgame,1,74,2013-06-23
Katy Perry feat. Snoop Dogg,California Gurls,30,4,2011-01-23
Katy Perry feat. Skip Marley,Chained To The Rhythm,24,6,2017-08-13
Katy Perry feat. Nicki Minaj,Swish Swish,9,46,2017-09-17
Katy Perry feat. Migos,Bon appétit,11,36,2017-07-16
Katy Perry feat. Juicy J,Dark Horse,42,4,2015-03-08
Katy Perry,Wide Awake,20,21,2012-11-25
Katy Perry,Unconditionally,14,27,2014-03-09
Katy Perry,This Is How We Do,12,36,2014-11-16
Katy Perry,The One That Got Away,15,33,2012-03-11
Katy Perry,Teenage Dream,21,8,2011-02-06
Katy Perry,Small Talk,1,91,2019-08-18
Katy Perry,Roar,33,3,2014-04-20
Katy Perry,Rise,11,15,2016-10-16
Katy Perry,Part Of Me,10,33,2012-06-03
Katy Perry,Never Really Over,12,21,2019-08-25
Katy Perry,Last Friday Night (T.G.I.F.),20,20,2011-11-13
Katy Perry,Hot N Cold,62,1,2010-11-14
Katy Perry,Harleys In Hawaii,1,72,2019-10-27
Katy Perry,Firework,24,3,2011-05-22
Katy Perry,E.T.,15,14,2011-07-10
Katy Perry,Daisies,2,57,2020-05-31
Katja Krasavice x Fler,Million Dollar A$$,1,73,2020-11-01
Katja Krasavice x Elif,Highway,1,77,2021-01-17
Katja Krasavice,Sex Tape,1,41,2018-08-19
Katja Krasavice,Gucci Girl,1,80,2019-08-04
Katja Krasavice,Doggy,1,26,2017-12-03
Katja Krasavice,Dicke Lippen,1,12,2018-04-15
Katja Friedenberg,Flugzeuge im Bauch,1,72,2012-01-29
Katie Melua,The Flood,9,19,2010-08-01
Kati Wolf,What About My Dreams?,1,53,2011-05-29
Kasimir1441 x Badmómzjay,Ohne Dich,11,6,2021-04-04
Karol G / Nicki Minaj,Tusa,43,8,2020-09-20
Kari Kreidler,Mi Namä isch (Der Teffli Rally Song),1,72,2013-09-08
Kanye West x Rick Ross x Rihanna x Swizz Beatz,Famous,4,45,2016-05-08
Kanye West feat. Various Artists,All Of The Lights,8,46,2011-05-08
Kanye West feat. Theophilus London| Allan Kingdom & Paul McCartney,All Day,2,64,2015-03-15
Kanye West feat. Pusha T,Runaway,2,56,2011-01-09
Kanye West feat. Paul McCartney,Only One,1,39,2015-01-11
Kanye West feat. PartyNextDoor,Ghost Town,1,73,2018-06-10
Kanye West & Lil Pump,I Love It,12,6,2018-12-02
Kanye West,Yikes,2,32,2018-06-17
Kanye West,Selah,1,35,2019-11-03
Kanye West,Follow God,4,14,2019-11-24
Kanye West,Closed On Sunday,1,45,2019-11-03
Kanye West,All Mine,2,43,2018-06-17
Kamaliya,I'm Alive,1,72,2013-06-09
Kalim feat. Nimo,Lowrider,1,47,2019-10-20
Kalim feat. Nimo,Bis um 3,1,93,2019-04-14
Kalim & Ufo361,SKRR,3,15,2020-06-21
Kalim,Pop Smoke,1,70,2020-10-04
Kalim,Pain,1,60,2021-03-28
Kalim,Droptop,1,98,2020-09-13
Kalim,Dopeboy,1,78,2020-06-28
Kalim,Baby,1,96,2020-09-27
Kali Uchis,Telepatía,9,36,2021-05-02
Kaleo,Way Down We Go,37,10,2018-01-14
Kalazh44| Capital Bra & Samra feat. Nimo & Luciano,Royal Rumble,5,4,2019-07-21
Kalazh44 x Samra,Shakira,2,18,2020-07-05
Kalash feat. Damso,Mwaka Moon,25,25,2018-06-24
Kalash Criminel x Damso,But en or,1,92,2020-10-25
KabelBrand,Illusion,2,47,2015-12-27
KMN Gang feat. Azet| Miami Yacine| Nash & Zuna,KMN Member,4,9,2018-07-29
KEiiNO,Spirit In The Sky,2,7,2019-06-02
KC Rebell x Summer Cem feat. Luciano,Valla nein!,4,7,2020-07-05
KC Rebell x Summer Cem feat. Loredana,Geh dein Weg,2,8,2020-07-26
KC Rebell x Summer Cem,Wow,1,86,2020-09-27
KC Rebell x Summer Cem,QN,2,29,2020-08-23
KC Rebell x Summer Cem,Nicht jetzt,1,70,2017-04-30
KC Rebell x Summer Cem,Murcielago,1,75,2017-05-21
KC Rebell x Summer Cem,Maximum,1,92,2017-06-25
KC Rebell x Summer Cem,Iron Man,1,45,2020-10-25
KC Rebell x Summer Cem,Geht nich gibs nich,2,15,2020-05-31
KC Rebell x Summer Cem,Fly,5,14,2020-07-05
KC Rebell x Summer Cem,Down,2,28,2020-12-06
KC Rebell x Summer Cem,Anani bacini,1,64,2020-10-18
KC Rebell feat. Summer Cem & Capital Bra,DNA,13,5,2019-05-19
KC Rebell feat. PA Sports| Kianush & Kollegah,TelVision,1,94,2016-11-20
KC Rebell feat. Moé,iPhone 17,1,57,2016-12-04
KC Rebell feat. Moé,Bist du real,1,52,2015-06-21
KC Rebell feat. Kool Savas,Spiegel,1,60,2016-12-04
KC Rebell feat. Gringo,Badewanne,2,37,2019-06-23
KC Rebell feat. Farid Bang,Kanax in Moskau,1,37,2014-04-13
KC Rebell & Summer Cem feat. Capital Bra,Amcaogle,2,27,2020-11-15
KC Rebell & RAF Camora,Neptun,6,6,2019-09-01
KC Rebell,Quarterback,5,12,2019-05-26
KC Rebell,Mosquitos,1,78,2016-10-30
KC Rebell,Leer,1,67,2016-10-09
KC Rebell,Ich brauch dich,1,63,2016-12-04
KC Rebell,Hasso,2,61,2019-02-17
KC Rebell,Alleen,8,6,2019-05-12
K-391| Alan Walker & Martin Tungevaag feat. Mangoo,Play,1,78,2019-09-08
K-391| Alan Walker & Ahrix,End Of Time,1,82,2020-03-15
K'naan,Wavin' Flag,30,1,2011-01-16
K'Naan feat. Nelly Furtado,Is Anybody Out There?,11,20,2012-06-03
Jutty Ranx,I See You,3,73,2013-03-17
Justin Wellington and Small Jam,Iko Iko,3,75,2021-05-02
Justin Timberlake feat. Jay Z,Suit &amp; Tie,11,31,2013-04-21
Justin Timberlake feat. Chris Stapleton,Say Something,26,6,2018-07-29
Justin Timberlake,Take Back The Night,4,48,2013-10-20
Justin Timberlake,TKO,1,68,2013-10-06
Justin Timberlake,Supplies,1,84,2018-01-28
Justin Timberlake,Not A Bad Thing,9,29,2014-06-29
Justin Timberlake,Mirrors,33,5,2013-10-20
Justin Timberlake,Man Of The Woods,1,48,2018-02-11
Justin Timberlake,Filthy,4,34,2018-02-11
Justin Timberlake,Can't Stop The Feeling!,62,1,2017-07-23
Justin Jesso,Getting Closer,2,83,2019-05-19
Justin Bieber feat. R. Kelly,PYD,1,27,2013-12-01
Justin Bieber feat. Quavo,Intentions,17,13,2020-06-07
Justin Bieber feat. Post Malone & Clever,Forever,3,33,2020-03-08
Justin Bieber feat. Nicki Minaj,Beauty And A Beat,14,46,2013-02-10
Justin Bieber feat. Ludacris,Baby,20,25,2011-04-24
Justin Bieber feat. Kehlani,Get Me,1,88,2020-02-09
Justin Bieber feat. Jaden Smith,Never Say Never,8,38,2011-05-08
Justin Bieber feat. Daniel Caesar & Giveon,Peaches,6,2,2021-05-02
Justin Bieber feat. Chance The Rapper,Holy,17,10,2021-01-17
Justin Bieber feat. Chance The Rapper,Confident,1,37,2013-12-22
Justin Bieber feat. Big Sean,As Long As You Love Me,9,55,2012-10-28
