Artist,Title,Week(s) in Charts,Peak,Week
Travis Scott feat. Young Thug & M.I.A.,Franchise,4,14,2020-10-25
Travis Scott feat. Kendrick Lamar,Goosebumps,12,32,2021-01-24
Travis Scott feat. Kanye West & Lil Uzi Vert,Watch,1,62,2018-05-13
Travis Scott,The Plan,1,98,2020-08-30
Travis Scott,Stargazing,6,10,2018-09-16
Travis Scott,Sicko Mode,39,17,2020-05-31
Travis Scott,Highest In The Room,48,2,2020-10-18
Travis Scott,Carousel,1,35,2018-08-12
Travis Scott,Butterfly Effect,14,58,2019-09-08
Travie McCoy feat. Bruno Mars,Billionaire,18,14,2011-04-10
Trauffer,Sennesinger,1,75,2015-12-06
Trauffer,Schärischnitt,2,59,2018-03-04
Trauffer,Schnupf| Schnaps + Edelwyss,2,58,2018-02-04
Trauffer,Müeh mit de Chüeh,1,71,2014-05-04
Trauffer,Heiterefahne,3,57,2018-03-04
Trauffer,Geissepeter,8,8,2018-02-11
Trauffer,Brienzer Buurli,1,53,2014-01-19
Trauffer,Alpzyt,2,45,2018-02-04
Train,Shake Up Christmas,3,25,2011-01-09
Train,Hey| Soul Sister,27,4,2010-10-17
Train,Drive By,27,1,2012-09-02
Train,Angel In Blue Jeans,11,38,2014-11-09
Tove Lo,Habits,44,3,2016-02-21
Tove Lo,Cool Girl,15,49,2016-11-20
Tory Lanez,Luv,9,58,2016-10-30
Topic x A7S feat. Lil Baby,Why Do You Lie To Me,1,86,2020-09-06
Topic feat. A7S,Breaking Me,68,4,2021-05-02
Tony Bennett & Amy Winehouse,Body And Soul,2,35,2011-10-02
Tony Bennett,Winter Wonderland,2,66,2019-12-29
Toni Braxton,Yesterday,11,17,2010-08-01
Tones And I,Ur So Fxxking Cool,1,93,2020-06-07
Tones And I,Never Seen The Rain,18,49,2020-06-21
Tones And I,Fly Away,18,30,2021-05-02
Tones And I,Dance Monkey,90,1,2021-05-02
Tones And I,Bad Child,1,73,2020-03-22
Tom Walker,Leave A Light On,47,3,2019-04-07
Tom Walker,Just You And I,14,57,2019-06-23
